playerID,yearID,stint,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,R
bechtge01,1871,1,1,2,3,3,2,0,0,78,43,23,0,11,1,42
brainas01,1871,1,12,15,30,30,30,0,0,792,361,132,4,37,13,292
fergubo01,1871,1,0,0,1,0,0,0,0,3,8,3,0,0,0,9
fishech01,1871,1,4,16,24,24,22,1,0,639,295,103,3,31,15,257
fleetfr01,1871,1,0,1,1,1,1,0,0,27,20,10,0,3,0,21
flowedi01,1871,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0
mackde01,1871,1,0,1,3,1,1,0,0,39,20,5,0,3,1,30
mathebo01,1871,1,6,11,19,19,19,1,0,507,261,97,5,21,17,243
mcbridi01,1871,1,18,5,25,25,25,0,0,666,285,113,3,40,15,223
mcmuljo01,1871,1,12,15,29,29,28,0,0,747,430,153,4,75,12,362
meyerle01,1871,1,0,0,1,0,0,0,0,3,1,1,0,2,0,1
paborch01,1871,1,0,2,7,1,1,0,0,88,50,22,4,6,0,53
pinkhed01,1871,1,1,0,3,0,0,0,1,31,10,4,0,3,0,8
prattal01,1871,1,10,17,28,28,22,0,0,674,296,94,9,47,34,288
spaldal01,1871,1,19,10,31,31,22,1,0,772,333,96,2,38,23,272
stearbi01,1871,1,2,0,2,2,2,0,0,54,10,5,0,8,0,11
woltery01,1871,1,16,16,32,32,31,1,0,849,345,108,7,39,22,283
wrighha01,1871,1,1,0,9,0,0,0,3,56,34,13,0,4,0,31
zettlge01,1871,1,18,9,28,28,25,0,0,722,298,73,6,25,22,233
bentlcy01,1872,1,2,15,18,17,16,0,0,462,273,105,4,12,5,252
brainas01,1872,1,2,7,9,9,9,0,0,237,147,56,0,5,1,140
brainas01,1872,2,0,2,2,2,1,0,0,24,14,7,1,0,0,17
brittji01,1872,1,9,28,37,37,37,0,0,1008,561,189,6,19,13,473
buttefr01,1872,1,3,2,6,5,5,0,0,147,81,28,0,1,0,78
cummica01,1872,1,33,20,55,55,53,3,0,1491,600,139,2,30,43,347
fishech01,1872,1,10,1,19,11,9,1,1,331,89,31,0,11,20,78
malonma01,1872,1,0,3,3,3,3,0,0,81,98,34,1,0,0,86
martiph01,1872,1,1,2,8,3,0,0,0,112,73,24,0,2,1,59
martiph01,1872,2,2,7,10,9,9,0,0,255,142,42,1,4,2,106
mathebo01,1872,1,25,18,49,47,39,0,0,1216,477,142,3,52,55,356
mcbridi01,1872,1,30,14,47,47,47,1,0,1257,513,140,3,26,44,349
mcderjo01,1872,1,0,7,7,7,7,0,0,189,142,58,3,12,1,144
mcmuljo01,1872,1,1,0,3,1,1,0,0,45,18,6,0,2,1,15
orour01,1872,1,0,1,1,1,1,0,0,27,16,6,0,2,0,15
paborch01,1872,1,1,1,2,2,2,0,0,54,20,6,0,3,0,15
prattal01,1872,1,2,9,15,12,8,0,0,314,150,51,3,14,7,133
spaldal01,1872,1,38,8,48,48,41,3,0,1214,412,89,0,27,27,224
stearbi01,1872,1,0,11,11,11,11,0,0,297,194,76,2,3,2,190
woltery01,1872,1,3,6,12,8,5,0,0,229,119,44,3,7,4,106
wrighha01,1872,1,1,0,7,0,0,0,1,77,26,6,0,0,1,12
zettlge01,1872,1,14,8,25,22,17,2,0,563,209,53,2,8,17,132
zettlge01,1872,2,1,8,9,9,8,0,0,226,105,25,1,6,8,62
bechtge01,1873,1,0,2,3,2,1,0,0,48,27,8,0,2,0,24
brainas01,1873,1,5,7,14,14,12,0,0,326,182,50,0,9,3,139
brittji01,1873,1,17,36,54,54,51,1,0,1442,696,208,6,40,15,519
campbhu01,1873,1,2,16,19,18,18,0,0,495,250,52,7,7,5,213
cummica01,1873,1,28,14,42,42,42,1,0,1146,475,113,4,33,31,292
fergubo01,1873,1,0,1,4,1,1,0,0,58,41,13,2,2,0,30
fishech01,1873,1,3,4,13,5,5,0,1,253,90,17,1,10,14,73
fleetfr01,1873,1,0,3,3,3,2,0,0,72,57,15,0,0,1,47
forceda01,1873,1,1,1,3,1,1,0,0,54,23,7,0,0,0,20
frencbi01,1873,1,0,1,1,1,1,0,0,27,30,12,1,0,0,27
fulmech01,1873,1,0,0,2,0,0,0,0,15,7,2,0,1,0,4
greasjo01,1873,1,1,6,7,7,7,0,0,189,112,38,3,7,3,90
lovetle01,1873,1,0,1,1,1,1,0,0,27,22,7,0,1,1,16
martiph01,1873,1,0,1,6,1,1,0,0,102,50,13,0,7,1,37
mathebo01,1873,1,29,23,52,52,47,2,0,1329,489,126,5,62,75,348
mcbridi01,1873,1,24,19,46,46,38,3,0,1148,453,141,3,47,25,325
mcdoo01,1873,1,0,1,1,1,1,0,0,27,18,3,0,0,0,24
mcmuljo01,1873,1,1,0,1,1,1,0,0,24,10,2,0,1,2,5
selmafr01,1873,1,0,1,1,1,1,0,0,27,21,8,0,0,0,26
spaldal01,1873,1,41,14,60,55,48,1,2,1493,643,136,5,28,31,414
stearbi01,1873,1,7,25,32,32,32,0,0,849,481,143,8,15,4,395
strated01,1873,1,0,3,3,3,3,0,0,81,75,25,3,0,0,75
woltery01,1873,1,0,1,1,1,1,0,0,27,13,0,0,1,1,23
wrighha01,1873,1,2,2,12,5,0,0,1,115,65,18,0,7,0,46
zettlge01,1873,1,36,15,51,51,49,0,0,1380,593,138,3,41,28,368
bechtge01,1874,1,1,3,6,4,4,0,0,126,64,18,0,0,13,42
bondto01,1874,1,22,32,55,55,55,1,0,1491,609,176,16,10,11,440
brainas01,1874,1,5,22,29,27,25,0,0,717,403,131,1,27,16,329
collida01,1874,1,1,1,2,2,1,0,0,33,21,7,0,2,18,17
cummica01,1874,1,28,26,54,54,52,3,0,1446,602,154,4,21,11,386
fergubo01,1874,1,0,1,1,1,1,0,0,27,12,4,0,3,15,10
fishech01,1874,1,14,23,39,35,31,0,0,951,405,107,1,10,11,277
forceda01,1874,1,0,0,1,0,0,0,0,21,22,19,4,0,0,24
hatfijo01,1874,1,0,1,3,0,0,0,0,24,11,2,0,1,13,6
mannija01,1874,1,4,16,22,20,18,0,0,539,231,68,3,10,12,168
mathebo01,1874,1,42,22,65,65,62,4,0,1734,647,148,3,39,10,371
mcbridi01,1874,1,33,22,55,55,55,0,0,1461,514,138,5,29,10,344
ryanjo01,1874,1,0,0,1,0,0,0,0,10,13,3,0,0,0,8
spaldal01,1874,1,52,16,71,69,65,4,0,1849,753,161,1,23,11,402
stearbi01,1874,1,2,14,22,18,14,0,1,492,255,82,1,13,14,194
wrighha01,1874,1,0,2,6,2,0,0,3,50,24,5,0,4,15,13
zettlge01,1874,1,27,30,57,57,57,3,0,1547,653,176,3,46,12,439
arundha01,1875,1,0,1,1,1,0,0,0,7,6,3,0,0,0,6
bechtge01,1875,1,2,12,14,14,14,0,0,378,170,55,0,3,12,138
bechtge01,1875,2,3,1,4,4,4,0,0,108,45,9,0,3,12,19
blongjo01,1875,1,3,12,15,15,12,1,0,387,169,48,0,2,11,121
bondto01,1875,1,19,16,40,39,37,6,0,1056,301,61,3,10,8,152
bordejo01,1875,1,2,4,7,7,7,2,0,198,47,12,0,7,7,30
boydbi01,1875,1,0,0,1,0,0,0,0,5,4,0,0,0,0,3
bradlge01,1875,1,33,26,60,60,57,4,0,1607,538,122,3,16,9,304
cassijo01,1875,1,1,20,30,22,18,0,0,644,278,95,6,12,12,242
clintji01,1875,1,1,14,17,14,9,0,0,369,146,44,0,8,11,104
cummica01,1875,1,35,12,48,47,46,7,0,1251,396,74,0,6,8,184
devliji01,1875,1,7,16,28,24,24,0,0,672,254,72,0,11,10,179
edwar01,1875,1,0,1,1,1,0,0,0,6,4,2,0,0,0,6
fergubo01,1875,1,0,0,1,0,0,0,0,6,9,4,1,0,0,7
fishech01,1875,1,22,19,41,41,36,2,0,1070,345,76,6,9,8,189
fleetfr01,1875,1,2,1,3,3,3,0,0,81,33,7,0,3,12,17
fleetfr01,1875,2,0,1,2,1,1,0,0,46,24,8,1,0,14,20
galvipu01,1875,1,4,2,8,7,7,1,1,186,53,15,0,1,7,37
gedneco01,1875,1,1,0,2,1,1,0,0,33,7,2,0,1,6,4
goldemi01,1875,1,1,12,13,13,13,0,0,336,110,35,0,14,10,88
goldemi01,1875,2,6,7,14,14,12,1,0,357,129,38,0,11,10,95
heifefr01,1875,1,0,0,2,0,0,0,1,7,6,2,0,0,0,4
knighge01,1875,1,1,0,1,1,1,0,0,27,12,2,0,0,12,6
knighlo01,1875,1,6,5,13,13,12,0,0,321,114,29,0,12,10,73
luffhe01,1875,1,1,6,10,7,5,0,0,209,100,37,2,3,13,91
mannija01,1875,1,15,2,27,17,8,1,7,419,153,34,1,14,10,86
masonch01,1875,2,0,0,1,0,0,0,0,6,3,1,0,1,0,2
mathebo01,1875,1,29,38,70,70,69,2,0,1880,709,168,3,23,10,421
mcbridi01,1875,1,44,14,60,60,59,6,0,1614,602,118,4,25,10,297
mcmuljo01,1875,1,0,0,4,0,0,0,0,38,31,9,0,1,22,23
mcveyca01,1875,1,1,0,3,2,0,0,1,33,15,4,0,1,13,9
morgapi01,1875,1,1,3,7,4,4,1,0,126,38,16,0,1,8,40
nichotr01,1875,1,4,29,34,33,30,0,0,864,319,97,2,10,10,245
oneilj01,1875,1,0,4,5,4,3,0,0,102,56,18,2,0,14,45
paborch01,1875,1,0,1,1,1,0,0,0,12,11,4,0,1,0,12
parksbi01,1875,1,4,8,14,11,9,0,0,320,146,48,5,6,12,120
parksbi01,1875,2,0,0,2,0,0,0,0,16,13,4,0,1,0,11
pearcdi01,1875,1,0,0,2,0,0,0,0,16,10,2,0,0,0,11
ryanjo01,1875,1,1,5,10,6,4,0,0,178,69,22,1,9,11,55
spaldal01,1875,1,55,5,72,63,52,7,8,1725,571,97,1,14,9,241
stearbi01,1875,1,1,14,17,16,14,0,0,423,243,84,1,4,15,211
suttoez01,1875,1,0,0,2,0,0,0,0,18,14,5,0,0,0,13
weavesa01,1875,1,1,0,1,1,1,0,0,18,6,1,0,2,12,2
withech01,1875,1,0,1,1,1,0,0,0,3,4,2,0,0,0,5
wrighge01,1875,1,0,1,2,0,0,0,0,12,5,1,0,0,11,3
zettlge01,1875,1,17,14,31,31,29,6,0,846,269,57,0,6,8,142
zettlge01,1875,2,12,8,21,21,20,1,0,541,208,48,0,10,10,121
barnero01,1876,1,0,0,1,0,0,0,0,4,7,3,0,0,0,8
blongjo01,1876,1,0,0,1,0,0,0,0,12,2,0,0,1,0,0
bondto01,1876,1,31,13,45,45,45,6,0,1224,355,76,2,13,88,164
bootham01,1876,1,0,1,3,1,0,0,0,29,22,10,0,0,0,18
boothed01,1876,1,0,0,1,0,0,0,0,15,16,6,0,0,0,10
bordejo01,1876,1,11,12,29,24,16,2,1,655,257,70,4,51,34,155
bradlfo01,1876,1,9,10,22,21,16,1,1,520,201,48,1,16,16,116
bradlge01,1876,1,45,19,64,64,63,16,0,1719,470,78,3,38,103,229
clackbo01,1876,1,0,0,1,0,0,0,0,6,2,1,0,0,0,1
clintji01,1876,1,0,1,1,1,1,0,0,27,12,6,0,0,1,11
coonwi01,1876,1,0,0,2,0,0,0,0,21,9,4,0,0,0,8
cummica01,1876,1,16,8,24,24,24,5,0,648,215,40,0,14,26,97
deando01,1876,1,4,26,30,30,26,0,0,788,397,109,1,24,22,268
devliji01,1876,1,30,35,68,68,66,5,0,1866,566,108,3,37,122,309
fishech01,1876,1,4,20,28,24,22,0,0,688,294,77,6,6,29,202
gouldch01,1876,1,0,0,2,0,0,0,0,13,10,0,0,0,0,9
knighlo01,1876,1,10,22,34,32,27,0,0,846,383,82,0,34,12,288
laffefl01,1876,1,0,1,1,1,1,0,0,27,5,0,0,0,0,3
larkite01,1876,1,0,1,1,1,1,0,0,27,9,3,0,0,0,7
mannija01,1876,1,18,5,34,20,13,0,5,592,213,47,1,32,24,139
mathebo01,1876,1,21,34,56,56,55,2,0,1548,693,164,8,24,37,395
mcbridi01,1876,1,0,4,4,4,3,0,0,99,53,10,1,5,2,35
mcveyca01,1876,1,5,2,11,6,5,0,2,178,57,10,0,2,9,22
meyerle01,1876,1,0,2,2,2,2,0,0,54,28,10,0,1,0,23
nichotr01,1876,1,1,0,1,1,1,0,0,27,7,1,0,0,0,5
pearcfr01,1876,1,0,0,1,0,0,0,0,12,5,2,0,1,1,4
peterjo01,1876,1,0,0,1,0,0,0,1,3,1,0,0,1,0,1
piersda01,1876,1,0,1,1,1,0,0,0,0,2,2,1,0,0,2
ryanjo01,1876,1,0,0,1,0,0,0,0,24,22,5,0,0,1,20
spaldal01,1876,1,47,12,61,60,53,8,0,1586,542,103,6,26,39,226
whitede01,1876,1,0,0,1,0,0,0,1,6,1,0,0,0,3,0
willida01,1876,1,1,8,9,9,9,0,0,249,123,39,1,4,9,75
wrighge01,1876,1,0,0,1,0,0,0,0,3,1,0,0,0,1,0
zettlge01,1876,1,4,20,28,25,23,1,2,702,358,101,2,6,10,212
battijo01,1877,1,0,0,1,0,0,0,0,11,3,2,0,1,1,2
blongjo01,1877,1,10,9,25,21,17,0,0,562,203,57,0,38,51,121
bondto01,1877,1,40,17,58,58,58,6,0,1563,530,122,5,36,170,248
bootham01,1877,1,1,7,12,8,6,0,0,258,114,34,1,13,18,75
bradlge01,1877,1,18,23,50,44,35,2,0,1182,452,145,4,39,59,266
cassijo01,1877,1,1,1,2,2,2,0,0,54,24,10,0,1,2,11
cummica01,1877,1,5,14,19,19,16,0,0,467,219,75,2,13,11,144
devliji01,1877,1,35,25,61,61,61,4,0,1677,617,140,4,41,141,288
fergubo01,1877,1,1,1,3,2,2,0,0,75,38,11,0,2,1,15
larkite01,1877,1,29,25,56,56,55,4,0,1503,510,119,2,53,96,285
mannija01,1877,1,0,4,10,4,2,0,1,132,83,34,1,7,6,65
mathebo01,1877,1,3,12,15,15,13,0,0,388,208,58,0,17,9,132
mcveyca01,1877,1,4,8,17,10,6,0,2,276,129,46,2,11,20,87
mitchbo01,1877,1,6,5,12,12,11,1,0,300,123,39,0,11,41,69
nichotr01,1877,1,18,23,42,39,35,1,0,1050,376,101,2,53,80,195
reisla01,1877,1,3,1,4,4,4,1,0,108,29,3,1,6,11,8
roweda01,1877,1,0,1,1,1,0,0,0,3,3,2,0,2,0,2
spaldal01,1877,1,1,0,4,1,0,0,1,33,17,4,0,0,2,12
whitewi01,1877,1,2,1,3,3,3,1,0,81,27,9,0,2,7,15
allisdo01,1878,1,0,0,1,0,0,0,0,15,11,1,0,1,0,5
bondto01,1878,1,40,19,59,59,57,9,0,1598,571,122,5,33,182,222
brownle01,1878,1,0,0,1,0,0,0,0,3,0,2,0,4,0,4
coreyfr01,1878,1,1,2,5,5,2,0,0,69,22,6,0,7,7,10
ellicjo01,1878,1,0,1,1,0,0,0,0,9,1,1,0,1,0,1
fishech01,1878,1,0,1,1,1,1,0,0,27,14,4,0,0,2,12
goldemi01,1878,1,3,13,22,18,15,0,0,483,217,74,1,33,52,171
hankifr01,1878,1,0,1,1,1,1,0,0,27,11,6,0,0,4,9
healeto01,1878,1,0,3,3,3,3,0,0,72,27,8,1,7,2,17
healeto01,1878,2,6,4,11,10,9,0,1,267,98,22,1,13,18,50
larkite01,1878,1,29,26,56,56,56,1,0,1518,511,126,4,31,163,288
mannija01,1878,1,1,0,3,1,1,0,0,34,24,18,1,5,2,19
mccorji01,1878,1,5,8,14,14,12,1,0,351,128,22,0,15,36,47
mckelru01,1878,1,0,2,4,1,1,0,0,75,38,6,1,3,3,23
mitchbo01,1878,1,7,2,9,9,9,1,0,240,69,19,1,18,51,32
nichotr01,1878,1,4,7,11,10,10,0,0,294,157,46,0,8,21,98